nm,soil_11,soil_14,soil_16-1,soil_23,soil_66kyr,soil_7,soil_9
412,0.123343304,0.116381973,0.214010134,0.20892565,0.074402489,0.059964642,0.089532375
413,0.123548545,0.116359353,0.214682803,0.209269911,0.074389368,0.059760705,0.08956255
414,0.1239416,0.116754338,0.215307802,0.210104555,0.074552976,0.05986733,0.089796431
415,0.124839932,0.117810942,0.216858044,0.211693078,0.075621717,0.060444068,0.090690792
416,0.125909105,0.119073533,0.219000742,0.213486955,0.077090889,0.061148718,0.091866188
417,0.125752315,0.118926831,0.219502985,0.213571683,0.076548137,0.060799919,0.091622822
418,0.126159489,0.119397163,0.220417112,0.214388296,0.076686092,0.060860597,0.091979973
419,0.127201378,0.12056338,0.22196953,0.216042906,0.077665858,0.061481029,0.092987649
420,0.128137946,0.121588372,0.223573253,0.217542216,0.078480229,0.062194675,0.093775027
421,0.128871202,0.122307613,0.224909589,0.218655437,0.079074457,0.062479004,0.094363481
422,0.129438147,0.122890092,0.226117104,0.219569504,0.079576485,0.06255284,0.094828255
423,0.129964292,0.123591296,0.227447167,0.220600069,0.080166444,0.062799342,0.095302895
424,0.130761892,0.124515377,0.2289913,0.221993774,0.080867171,0.063288704,0.096028611
425,0.131477341,0.125319108,0.230536535,0.223345116,0.081482656,0.063755855,0.096776821
426,0.131924376,0.125844374,0.231925607,0.22441718,0.081935078,0.064039707,0.097374514
427,0.132491261,0.126480401,0.233141065,0.225539595,0.082477152,0.064311177,0.097868145
428,0.133271679,0.127399147,0.234760791,0.226880863,0.083244182,0.064673193,0.098547608
429,0.134226948,0.128534198,0.236690417,0.228351071,0.084168829,0.065114789,0.099433616
430,0.135136828,0.129479513,0.237845734,0.229460835,0.084877849,0.065439112,0.100181326
431,0.136110634,0.130516589,0.239371479,0.230730414,0.08576148,0.066065967,0.101068482
432,0.137080371,0.131644577,0.241272971,0.232219055,0.086737938,0.066782676,0.102034993
433,0.137901738,0.132739812,0.243020028,0.233773366,0.087501816,0.067057222,0.102861956
434,0.138764158,0.133823156,0.24477759,0.235358536,0.088318042,0.067459777,0.10363993
435,0.139616668,0.134823307,0.246478021,0.236809224,0.089105673,0.067917265,0.104280509
436,0.140395552,0.13571851,0.248073429,0.238038972,0.089784876,0.068264097,0.104759008
437,0.141344205,0.136921331,0.249927118,0.23962535,0.090847425,0.068754911,0.105668567
438,0.142355382,0.138182446,0.251859695,0.241224483,0.091822907,0.069336131,0.106754042
439,0.14332293,0.139301926,0.253701508,0.242610395,0.092437133,0.069911979,0.107754901
440,0.144213244,0.140344232,0.255418569,0.244079977,0.09312547,0.070326298,0.108582556
441,0.145119205,0.141432822,0.257106423,0.245598167,0.093898639,0.070779555,0.109438494
442,0.146054775,0.142586827,0.258821368,0.247110382,0.09474612,0.071332954,0.110386074
443,0.146926299,0.143690735,0.260584831,0.248517275,0.095635131,0.071891323,0.111330323
444,0.147783577,0.144735187,0.262191802,0.249795645,0.096437179,0.072349705,0.112158865
445,0.148648143,0.145767719,0.263688177,0.251042008,0.097155511,0.072749533,0.112956956
446,0.149526894,0.146863356,0.26523909,0.252409875,0.097863272,0.073212788,0.113908902
447,0.150384352,0.147857904,0.266665101,0.253599882,0.09858492,0.073694222,0.114747636
448,0.151146054,0.148736447,0.26795724,0.254685044,0.099203184,0.074076109,0.115463473
449,0.151763454,0.149530068,0.26916039,0.255788356,0.099624515,0.074286088,0.116116576
450,0.152373821,0.150293559,0.270390868,0.256789416,0.100102328,0.074632324,0.116787501
451,0.153038561,0.15113087,0.271652699,0.257676601,0.100622497,0.074986883,0.117490664
452,0.153789863,0.152081355,0.272939533,0.258532822,0.10117235,0.075302444,0.11824622
453,0.154667586,0.153068975,0.274300963,0.259722888,0.101864971,0.07588996,0.119175024
454,0.155358106,0.153882995,0.275503904,0.260759473,0.10234759,0.076313473,0.119861819
455,0.155839413,0.154522002,0.276516378,0.261519998,0.102592111,0.076520845,0.120306835
456,0.156422302,0.15522933,0.27753368,0.262266994,0.102937877,0.076902859,0.121002637
457,0.157087356,0.155969992,0.278532416,0.263138175,0.103377253,0.077260748,0.12172582
458,0.157799691,0.156710401,0.279551089,0.264080673,0.103867427,0.077590868,0.122427009
459,0.158488467,0.157401055,0.280642122,0.264934778,0.104325615,0.077960588,0.123108678
460,0.158923,0.157947972,0.281648666,0.265685081,0.104693055,0.078323446,0.123640068
461,0.1592675,0.158469439,0.282558948,0.266362131,0.105001926,0.078575283,0.124124482
462,0.159739867,0.159093231,0.283406049,0.267027885,0.105310008,0.078665338,0.124684535
463,0.160328224,0.159712076,0.284227252,0.26780507,0.10566096,0.078848928,0.12523593
464,0.160891101,0.160352021,0.285054326,0.268537104,0.106024131,0.079108626,0.125784755
465,0.161370382,0.161014229,0.285894006,0.26914984,0.106364399,0.079401672,0.12632814
466,0.16191563,0.161622122,0.286702961,0.269797146,0.106637403,0.079687297,0.12682806
467,0.162472904,0.162197754,0.287511557,0.2704252,0.106948175,0.079941444,0.127294555
468,0.163009763,0.162767917,0.288272083,0.271040112,0.107276119,0.080155663,0.127747774
469,0.163496047,0.163364366,0.288823336,0.271700621,0.107454091,0.080327608,0.128214672
470,0.16405274,0.164017394,0.289607465,0.272410303,0.107786067,0.08061184,0.128770038
471,0.164673179,0.164721996,0.290599644,0.2730757,0.108293481,0.080975041,0.129365116
472,0.165294275,0.165446907,0.291574866,0.273580909,0.108863764,0.081305131,0.129903376
473,0.165890068,0.166080683,0.29246071,0.274197906,0.109237663,0.081640728,0.13048622
474,0.166484207,0.166715041,0.293344229,0.274901807,0.109568238,0.081961051,0.13107802
475,0.167098179,0.167441323,0.294309735,0.275631696,0.110029094,0.082248092,0.131614342
476,0.167706743,0.16820088,0.295291394,0.276474208,0.110521615,0.082542084,0.132005304
477,0.168287918,0.168863297,0.29621008,0.277236104,0.110963002,0.082789429,0.132424146
478,0.168845281,0.16942291,0.297067702,0.277872384,0.11135076,0.082999885,0.132963493
479,0.169420496,0.170127019,0.298023313,0.278648823,0.111828148,0.083320349,0.13354075
480,0.170132741,0.1709048,0.299109846,0.279538542,0.112454176,0.083716884,0.134245083
481,0.170909837,0.171701476,0.300215036,0.280462533,0.113126636,0.084127799,0.135000095
482,0.171508342,0.172464326,0.30107978,0.281280011,0.113586865,0.084454477,0.135583177
483,0.172116354,0.173195317,0.302146971,0.282147199,0.114075668,0.084792122,0.13622728
484,0.172736555,0.173934981,0.30334422,0.283000588,0.114627726,0.08514186,0.136923671
485,0.173335493,0.174746022,0.304454118,0.283741236,0.115220308,0.08548595,0.137598306
486,0.17408897,0.17566672,0.305704743,0.284653783,0.115908444,0.085913166,0.13833341
487,0.17493853,0.176648393,0.307007343,0.285728335,0.116673671,0.086405121,0.139140159
488,0.17579633,0.17764312,0.308272421,0.286879003,0.117481388,0.086916029,0.140002012
489,0.176603526,0.178654805,0.309572011,0.287924677,0.118277833,0.087366998,0.140840426
490,0.177369222,0.179615974,0.310801387,0.288896263,0.119040422,0.087753788,0.141630739
491,0.178124458,0.180532306,0.311970949,0.289869726,0.119785041,0.088114284,0.142397925
492,0.178915143,0.181514859,0.313272804,0.29100129,0.120566688,0.08853963,0.143238246
493,0.179819629,0.182608902,0.314720005,0.292073369,0.121487774,0.089102335,0.144135237
494,0.180795699,0.183762684,0.31624198,0.293105274,0.122504137,0.089738794,0.145057455
495,0.181704611,0.184838459,0.317682296,0.294264972,0.123456083,0.090275638,0.145948142
496,0.182488963,0.185829476,0.319061041,0.295466185,0.124368452,0.090767421,0.146850586
497,0.18327792,0.186860949,0.320497185,0.296690464,0.125317603,0.091234475,0.147807494
498,0.184219569,0.188055158,0.322093278,0.297917694,0.126359314,0.091694579,0.148835033
499,0.18509008,0.189147308,0.323553026,0.299009442,0.127213463,0.092168294,0.149749383
500,0.185991123,0.190270409,0.32502228,0.300133288,0.128103152,0.092712067,0.150688082
501,0.186996013,0.191516876,0.326607138,0.301401287,0.129188731,0.093339033,0.151743948
502,0.188000798,0.192733914,0.328157663,0.30267936,0.13029328,0.093946487,0.152778104
503,0.188926205,0.193895623,0.329615653,0.303895622,0.131312415,0.094487891,0.153764278
504,0.189789757,0.195011929,0.331028163,0.305047959,0.132260785,0.094993271,0.154695496
505,0.190755337,0.1961274,0.332612455,0.306223512,0.133319333,0.095606305,0.155567273
506,0.191725239,0.19738923,0.334215671,0.307485074,0.134476304,0.096282594,0.156582326
507,0.192696795,0.19874455,0.33581236,0.308814645,0.135673642,0.09696988,0.157712311
508,0.193709657,0.200026706,0.337433428,0.310143173,0.136814401,0.097601578,0.158801571
509,0.194663137,0.201188385,0.338929832,0.311335295,0.13779901,0.098164126,0.159814373
510,0.195597067,0.202332377,0.340351701,0.312487483,0.138748929,0.098722674,0.160814032
511,0.196573108,0.203567252,0.341804743,0.313726395,0.139812246,0.099342249,0.161872983
512,0.197549731,0.204737306,0.343368262,0.314941615,0.140901104,0.099942088,0.162909582
513,0.198511317,0.205952629,0.345013529,0.31621471,0.142048165,0.100549236,0.163961232
514,0.199455023,0.207261264,0.346663445,0.31754905,0.143243372,0.101177126,0.165044695
515,0.20038335,0.208490789,0.348108292,0.318685025,0.144330338,0.10176941,0.166083083
516,0.201388165,0.209767655,0.349631816,0.319884419,0.145444125,0.102414154,0.167193651
517,0.202462643,0.211107597,0.351302087,0.321216911,0.146616399,0.10311801,0.168381318
518,0.203492925,0.212406874,0.352972388,0.322563142,0.147770822,0.103799634,0.169529065
519,0.204436839,0.213685781,0.354511529,0.323819786,0.148907706,0.104466669,0.170644924
520,0.205379024,0.214997768,0.356015414,0.325037062,0.150077924,0.105144843,0.171748236
521,0.206455469,0.216401398,0.357670069,0.326326907,0.15134564,0.105867065,0.172869503
522,0.207579061,0.217759192,0.359296083,0.327569216,0.152603403,0.106608532,0.174079835
523,0.208685428,0.219108731,0.360917807,0.328822404,0.153846428,0.107330188,0.175333321
524,0.209735498,0.220512673,0.362581849,0.330153048,0.155085534,0.108015157,0.176578298
525,0.210785195,0.222004443,0.36427623,0.331532955,0.156305403,0.108755663,0.177866682
526,0.211857259,0.223481596,0.365966827,0.332886964,0.157549486,0.109529719,0.179147318
527,0.212966844,0.224912897,0.367641956,0.334199935,0.158844665,0.110334747,0.18041797
528,0.214143425,0.226436719,0.369350612,0.335602373,0.160207883,0.111245587,0.181805953
529,0.215321153,0.227997139,0.371105343,0.336966664,0.161570445,0.112131253,0.183213934
530,0.216464385,0.229560122,0.372875303,0.338297725,0.162899941,0.112976067,0.184611931
531,0.217558622,0.231105179,0.374592006,0.339712083,0.16419217,0.113857366,0.186021671
532,0.218746424,0.232699424,0.376431048,0.341131032,0.165583283,0.114811614,0.187478691
533,0.22000511,0.234351024,0.378318965,0.342565119,0.16703628,0.115796089,0.18899262
534,0.22125265,0.236046985,0.380122632,0.344046712,0.168461859,0.116749667,0.190560222
535,0.222417563,0.237748191,0.381991208,0.345516443,0.169883743,0.117735066,0.192133278
536,0.223587379,0.2394481,0.383834958,0.34694919,0.171289846,0.118762925,0.193695709
537,0.224836126,0.241165653,0.385609388,0.348356605,0.172688037,0.119832523,0.195265263
538,0.226101682,0.242972165,0.387518793,0.349838197,0.17414768,0.120919831,0.19693391
539,0.227368563,0.244799703,0.389456272,0.351343662,0.175656185,0.122053415,0.198672146
540,0.228645682,0.246634558,0.391384959,0.352850854,0.177190423,0.123231865,0.200448945
541,0.229973644,0.248537734,0.393379629,0.354377002,0.178697824,0.124391638,0.202211514
542,0.231323197,0.250498295,0.395339966,0.355886817,0.180218115,0.12559329,0.204038143
543,0.232652515,0.252473652,0.397271216,0.357388616,0.181748495,0.126853779,0.205920294
544,0.233906358,0.254392743,0.399233162,0.358911723,0.183260068,0.128163829,0.20779492
545,0.235231623,0.256399482,0.401210546,0.360404044,0.184782863,0.129475057,0.209685072
546,0.2366319,0.258478612,0.403245062,0.361927778,0.186316222,0.130815282,0.211656854
547,0.238063291,0.260578901,0.405360222,0.363539636,0.187856153,0.132228464,0.213759363
548,0.239459857,0.262722403,0.407406807,0.365077853,0.189445198,0.133732975,0.215883151
549,0.240906402,0.264980733,0.409502655,0.366692215,0.191086113,0.135317534,0.218059555
550,0.242451355,0.267373145,0.411723047,0.368446916,0.19276993,0.136980936,0.220330104
551,0.244028911,0.269782662,0.413985252,0.37011978,0.194475159,0.138768077,0.222738504
552,0.245613933,0.272285223,0.416304201,0.37183857,0.196223438,0.140626058,0.225249365
553,0.247230396,0.274920553,0.418700814,0.373649418,0.198006928,0.142557546,0.22786279
554,0.248971134,0.277712613,0.421222597,0.375528365,0.199785247,0.144635931,0.230631948
555,0.2507011,0.280494511,0.423693299,0.377399653,0.201629356,0.146757677,0.233404398
556,0.252407014,0.283227921,0.426092952,0.379224807,0.203477904,0.148869887,0.236146912
557,0.254119456,0.285932183,0.42846784,0.38098979,0.205223769,0.150945142,0.238877892
558,0.255704969,0.288525909,0.430724412,0.382712215,0.206905559,0.152976409,0.241506681
559,0.257231772,0.291021019,0.432859987,0.384344488,0.208530217,0.154970318,0.244052261
560,0.258783579,0.293478638,0.434924364,0.38588652,0.210113063,0.156949833,0.246568277
561,0.260321379,0.296054989,0.437071651,0.387563199,0.211691052,0.158957779,0.24912034
562,0.261837453,0.298582017,0.439214945,0.389200926,0.213257343,0.160966009,0.251642883
563,0.263329446,0.300992906,0.441284657,0.390714645,0.214791894,0.162956566,0.254110098
564,0.264805347,0.303431541,0.443246126,0.392207265,0.216247976,0.164926514,0.256578684
565,0.266231805,0.30581966,0.445185572,0.393639296,0.217666119,0.166937917,0.259029001
566,0.267637104,0.308184892,0.447139591,0.395046443,0.219079569,0.169004425,0.261469394
567,0.269083738,0.31060487,0.449092984,0.396505088,0.220507205,0.171082512,0.263900936
568,0.27050671,0.313005149,0.450984716,0.397899717,0.221886739,0.173163086,0.266347557
569,0.27191484,0.31538716,0.452842891,0.399266422,0.223251671,0.175229728,0.268806249
570,0.27332893,0.317759186,0.45470956,0.400667459,0.224645004,0.177266583,0.271254569
571,0.274670005,0.319971442,0.456471473,0.401970297,0.225918323,0.179236576,0.273576647
572,0.275951207,0.32210961,0.458112985,0.403168708,0.227101162,0.181187019,0.27580303
573,0.277206838,0.324263006,0.459668607,0.40429762,0.228252172,0.183165595,0.277996123
574,0.278496087,0.326434344,0.461278409,0.405458897,0.229446113,0.185189083,0.280251116
575,0.279816747,0.328658223,0.462947577,0.406665772,0.230663329,0.187261462,0.282559425
576,0.281149,0.330909222,0.46463725,0.407902241,0.231872156,0.18935591,0.28488791
577,0.282459348,0.333098799,0.466260612,0.409125686,0.233029321,0.191419929,0.287192613
578,0.283784598,0.335273087,0.467860192,0.41033408,0.234208107,0.193506032,0.28947714
579,0.285092443,0.337400466,0.469399273,0.411475629,0.235369414,0.195581913,0.291704237
580,0.286325574,0.339432806,0.470821708,0.412488937,0.236429304,0.197589412,0.293836892
581,0.287480116,0.341415107,0.472194999,0.413452536,0.237449378,0.199538827,0.295900643
582,0.288614243,0.343360066,0.473591834,0.414423943,0.238456979,0.201435179,0.297912717
583,0.289769322,0.34526071,0.47503525,0.415424049,0.239456415,0.203282669,0.299879283
584,0.290788651,0.346994549,0.476273805,0.416293323,0.240343392,0.205022603,0.301705062
585,0.291824579,0.348687708,0.477450728,0.417154759,0.241213694,0.206746116,0.303486735
586,0.292937696,0.350428373,0.478664607,0.418071508,0.242121696,0.208510697,0.305291831
587,0.293938369,0.352178663,0.479855835,0.418938816,0.243002594,0.210266232,0.307082981
588,0.294975638,0.353948385,0.481078625,0.419793844,0.243876651,0.212033957,0.308874398
589,0.296035886,0.355661929,0.482268512,0.420609951,0.24472408,0.21376434,0.310624659
590,0.296981037,0.357167006,0.483259439,0.421310365,0.245492935,0.215346739,0.312243491
591,0.29793036,0.35865435,0.484294027,0.422022492,0.246237844,0.216892883,0.313829213
592,0.298847735,0.360111684,0.485321462,0.422765404,0.246959612,0.218375191,0.315324783
593,0.299661785,0.361460686,0.48620972,0.423503399,0.24764052,0.219729513,0.316643685
594,0.300420195,0.362624228,0.486981004,0.424066335,0.248256952,0.220940903,0.317861855
595,0.301098257,0.363649458,0.487640381,0.424478054,0.248757824,0.222090304,0.319010496
596,0.301717013,0.364637345,0.488236219,0.42482695,0.249163359,0.223275125,0.320144892
597,0.302492917,0.365839869,0.488971859,0.425323308,0.249742895,0.224661902,0.321467936
598,0.303387642,0.367193639,0.489850044,0.425927401,0.250422239,0.226143554,0.322906643
599,0.304327875,0.368610144,0.490806401,0.426580787,0.251127273,0.227622747,0.324374735
600,0.305215031,0.370007664,0.49171558,0.427221209,0.251800418,0.229046613,0.325808108
601,0.306082517,0.371313214,0.492530614,0.427756876,0.252423853,0.230469465,0.32715413
602,0.30693081,0.372559905,0.493313789,0.428273231,0.253025025,0.231895983,0.328464061
603,0.307762444,0.373844832,0.494181752,0.428928673,0.253657758,0.233318329,0.329842806
604,0.308597893,0.375079215,0.494947016,0.429443806,0.254239798,0.234602839,0.331084907
605,0.309407502,0.37626484,0.495664775,0.429915965,0.254802346,0.235834867,0.332268924
