yrBP ,d18O
-999,-76
-999,-999
-999,-107
-999,-109
-999,-118
-999,-127
-999,-999
-999,-79
-999,-99
-999,-999
-999,-150
-999,-154
-999,-137
-999,-128
-999,-155
-999,-152
-999,-999
-999,-158
-999,-147
-999,-105
-999,-166
-999,-999
-999,-158
-999,-136
-999,-999
-999,-132
-999,-148
-999,-999
-999,-133
-999,-127
-999,-128
-999,-161
