,Q1,Q1.5a,Q2,Q2.5a,Q2.5b,Q3,Q4,Q5,Q6,Q7,Q8 (modern)
B16_mean,-1.217383721891337,-1.2343947606610572,-1.2486248207377033,-1.1889010927281518,-1.185190770882845,-1.1958427881380946,-1.31837436621022,-1.1296495744640003,-1.2230065761202575,-1.121399919714112,-1.0217002364267689
B17_mean,-1.1524606628351561,-1.1709789315094783,-1.1818302939188947,-1.1208085795594105,-1.1224021579908898,-1.1314655702717762,-1.252427347593785,-1.0588983742640257,-1.1548155630261285,-1.0480061885025085,-0.9424922445627312
B18_mean,-1.079965601637495,-1.0995446995669598,-1.1063168556074692,-1.0411801045908775,-1.0470652704489765,-1.05547379621265,-1.1789006869290664,-0.9783311920687321,-1.0790073521755523,-0.9665656977826106,-0.8568978189503659
B19_mean,-1.0336490438101131,-1.058552711159882,-1.064897904256031,-0.9914474189926238,-1.0029685883614496,-1.0037094689370663,-1.1305002000618598,-0.9297219941572744,-1.033385994245612,-0.9180078408246097,-0.8094426924315057
B20_mean,-0.9708241323756591,-1.0026720342576023,-1.0010672048897018,-0.9225184077397613,-0.9452660041410235,-0.9367794639822873,-1.0751290357449488,-0.8630399099657633,-0.969361244243156,-0.8497165200980872,-0.7399901356060437
B21_mean,-0.928496327830486,-0.9661798047584478,-0.9617873511523909,-0.8774958219221957,-0.9033211456432877,-0.8984131560497136,-1.036496533609584,-0.8188162915491489,-0.9313168495959625,-0.8093706582396712,-0.7034595789612569
B22_mean,-0.8506937349742137,-0.8938856953703302,-0.8852089430571287,-0.7937290339717415,-0.8260065872042537,-0.8044761831972596,-0.9697165552012116,-0.735505231334054,-0.8547699295841711,-0.7255375136662415,-0.623421675787516
B23_mean,-0.7298211494859507,-0.7822179198439985,-0.7669215294435056,-0.6692599062025839,-0.7079219742165178,-0.6779690468510711,-0.8623691502307834,-0.6072974028685717,-0.7370703496756014,-0.6001861536479549,-0.4986139447556545
B24_mean,-0.6749105909960219,-0.7341517578555204,-0.7130785518920698,-0.6087980429901322,-0.6554285905477056,-0.6260969171527682,-0.8155204063884348,-0.5521242013156686,-0.6832972914595205,-0.5436756330160372,-0.44788933196570835
B25_mean,-0.6118795635897901,-0.6754134198629358,-0.65086095513819,-0.5448562247502035,-0.5908543951761946,-0.5722028525872934,-0.75621193692078,-0.4893435756855871,-0.6260731739688571,-0.48336278096931706,-0.3944578182045668
