,0.0,3.36999988556,5.1066699028,5.30000019073,5.40000009537,6.25,7.69000005722,11.0,11.3299999237,16.4500007629,16.4799995422,17.6700000763,18.2000007629,22.0100002289,26.2999992371,30.5,31.7432994843,78.5,107.699996948,117.9,160.265,212.154006958,238.470001221,286.8,314.485,319.220001221
B1_mean,-1.5062444372058115,-1.6646084907662213,-1.5252461993619424,-1.5632212549819617,-1.5608979251860524,-1.60602032844005,-1.567772717368411,-1.6241107574091664,-1.566071330029398,-1.5815154422499258,-1.7721163653803733,-1.6992411553421582,-1.604578415146209,-1.6278904053554986,-1.576464792125084,-1.5640404288099965,-1.4939347480202052,-1.8184809055148825,-1.5603642272658471,-1.5985952000868924,-1.5923695742292507,-1.6550076743136848,-1.7122904033295667,-1.648171703352765,-1.7473473928245835,-1.647930870040175
B2_mean,-1.5891281081438158,-1.7106081100681991,-1.6021712524218092,-1.6308141700766492,-1.6243670401167627,-1.6659690612277402,-1.6290967465963604,-1.6784791913966894,-1.6442079263441678,-1.6404009209462762,-1.8224654624219871,-1.7515826352653636,-1.6964362761364515,-1.682004630657264,-1.647838855907551,-1.6363136829111273,-1.574786340349096,-1.8569654135934053,-1.669032559311264,-1.6571190704401828,-1.646674792363054,-1.717695494429281,-1.7698432588545854,-1.7012947037733517,-1.8003993630316486,-1.7076268525593374
B3_mean,-1.5994119819483448,-1.7298212141238376,-1.6171817541680151,-1.6384032889250146,-1.6366824375736833,-1.6779702135345507,-1.6388300344811642,-1.7168810312504506,-1.6500423491741645,-1.6551362033690373,-1.830786796558023,-1.7674490055004766,-1.712307000406555,-1.6975497849926935,-1.6609367714829377,-1.6346361419143283,-1.5881308662227882,-1.85356427755328,-1.689751930787202,-1.6725486097592006,-1.657614706319353,-1.7317681269730267,-1.783216771360969,-1.7132598972926654,-1.8180963818682137,-1.716850297242266
B4_mean,-1.5411066589460423,-1.6729362383445252,-1.5581492659562532,-1.5832931879495893,-1.5828799544293415,-1.6223219240591709,-1.5857268715235642,-1.652460637981308,-1.5923832950524286,-1.603946046240514,-1.780529118935262,-1.7158875536620868,-1.6605719733534363,-1.6475571683497994,-1.6048257489776874,-1.5773518715992922,-1.5335864415619251,-1.8058881448056274,-1.6387624504806309,-1.6200711027105463,-1.605807348966828,-1.680985203612351,-1.7352884892170704,-1.663667288819917,-1.7715420459760955,-1.6663705474506634
B5_mean,-1.4853531215011742,-1.6435508289572098,-1.508103789510454,-1.527149080317278,-1.5463614836239603,-1.5698291398041253,-1.5497406701647192,-1.5991787145544354,-1.5261156008105223,-1.5710839069011904,-1.7367056930975708,-1.6661500089196066,-1.5945715295319567,-1.614667242983425,-1.5510465606448507,-1.5142797005827608,-1.4845782706221842,-1.7648601007427849,-1.5664035541333292,-1.5827227241794224,-1.5801495083893842,-1.6375530465544443,-1.686229912648169,-1.6247926469962535,-1.7289116955939545,-1.6313855294737785
B6_mean,-1.411733673501568,-1.568437888833878,-1.4292570189449714,-1.4552303993117197,-1.4798333483686263,-1.500669263891779,-1.4822208569704587,-1.5151724376835438,-1.450996478040762,-1.5042407550226138,-1.6600220404727037,-1.5864735058649673,-1.5192739215665894,-1.546944494519355,-1.479145663185429,-1.4369996460931138,-1.4110917563781025,-1.695177868738115,-1.4897614011857814,-1.5162476175819657,-1.5170824042277886,-1.5663437161694098,-1.6115625352441818,-1.5583272113753306,-1.6436588174562143,-1.5643085701119035
B7_mean,-1.3517644498460166,-1.5043698095341633,-1.3643867971314299,-1.3928929952735198,-1.420832756281645,-1.4373162704420706,-1.4228680388752943,-1.4557456298038622,-1.390408098238435,-1.4456892381796131,-1.6041389260407175,-1.5281714171289908,-1.4667883460121383,-1.4892925980431249,-1.4198176857787344,-1.377477507238118,-1.347607330066432,-1.635782894335327,-1.4385161791728867,-1.461697559507305,-1.456598900918166,-1.5111653380537637,-1.559536710819425,-1.5019561050977828,-1.5972862179791207,-1.5066266087722522
B8_mean,-1.3245722525653583,-1.4712671258483618,-1.334331903541701,-1.365432685925777,-1.3905062568147497,-1.4058666374062234,-1.3929620627561263,-1.4242226066600367,-1.3637776199442702,-1.4142126831549497,-1.5706256308275015,-1.496044586302561,-1.440523783397151,-1.4582940825119743,-1.389938658065036,-1.3481231287198285,-1.319701838868292,-1.5999674118362524,-1.4149118605071154,-1.4334691412423142,-1.4240439314841193,-1.4804787387351652,-1.5266151634009362,-1.4698086947244269,-1.5609346385438128,-1.4734056643514373
B9_mean,-1.3079424127562294,-1.4484343242670759,-1.3162940201622353,-1.3457354382627855,-1.371322482936943,-1.3854463667823846,-1.3738744941139118,-1.4053202945977707,-1.3444037872658605,-1.3963023582953997,-1.549796055561579,-1.4743430626791487,-1.4253772368185122,-1.4395282964887282,-1.3700264844874117,-1.329033679126325,-1.3007361194157239,-1.575762727792384,-1.4008763766269028,-1.4175910411690626,-1.4022353406929249,-1.4616516695274497,-1.5070921334327492,-1.4491719705289299,-1.5503449582591762,-1.4525957787551003
B10_mean,-1.255968376428383,-1.400774041409119,-1.2657162929587398,-1.291143945315847,-1.324266727111378,-1.3308501292527317,-1.3273305064079624,-1.34432490520855,-1.2912330448858995,-1.350113432633154,-1.5034287711071797,-1.4231531959516215,-1.3751308164776435,-1.3930421376365578,-1.3199411747269005,-1.2738241721112702,-1.2511068834516044,-1.5299284107594047,-1.348296424666672,-1.3736362822264236,-1.3562844995910686,-1.4142266308119245,-1.4601102358725604,-1.4013408043222135,-1.4995207515970765,-1.4055744240210755
B11_mean,-1.212503859722545,-1.3559772398504644,-1.2165115920165317,-1.2507181292995255,-1.2811897747502206,-1.2847997082056877,-1.2834243772565688,-1.2935469739389294,-1.2467300323619774,-1.3064778876884544,-1.453103982966573,-1.3742142871917546,-1.331365435065688,-1.3485991480247854,-1.2740063589598003,-1.2302907406980879,-1.2044918595477176,-1.4800626969478765,-1.3061984343141497,-1.331689822141391,-1.3129594908474753,-1.368140001296954,-1.4128114521443638,-1.3553834965586875,-1.4542170866491613,-1.360114823790841
B12_mean,-1.2114354823134064,-1.3477677183238541,-1.2164470079872818,-1.2460077604655275,-1.2780605681255777,-1.2827858040821405,-1.279594939903001,-1.2911796894295713,-1.2431761079352517,-1.3029518101441475,-1.449319454289124,-1.3720379333576667,-1.3301621909847892,-1.344340771512889,-1.272011972355404,-1.2279835877901957,-1.2056367178783083,-1.4726464847334941,-1.3057426700331702,-1.3294549385712124,-1.3093492546850214,-1.3662219544279852,-1.4097398985008263,-1.3513655464082892,-1.4520811749808435,-1.355917539023015
