,wvl 435,depth 435,area 435,lr_asym 435,wvl 700,depth 700,area 700,lr_asym 700,wvl 1400,depth 1400,area 1400,lr_asym 1400,wvl 1900,depth 1900,area 1900,lr_asym 1900
0,419.4,0.14771452662113282,4.381510549562555,0.9106208778712759,760.1,0.13850876781481147,5.646110431187561,0.9590520078999342,1360.8,0.9842541269537485,116.79715569834738,0.9171662876438565,1904.6,0.8526332587042605,40.63120007483848,0.9680188004495759
1,419.4,0.17142032345095826,5.012954834754983,0.9106208778712759,760.1,0.10534106540555821,4.814891220474681,0.9190256747860435,1372.7,0.9658936519831536,111.77413858313108,0.9171091648851805,1904.6,0.7657420722053694,36.1237369960747,0.9680188004495759
2,419.4,0.14341241541514493,4.53255808726409,0.9106208778712759,760.1,0.12976791543558586,5.606490322797771,0.9590520078999342,1360.8,0.982611982499658,116.2103978476748,0.9171662876438565,1904.6,0.8449440097377838,40.09874395165033,0.9680188004495759
3,419.4,0.1609796175007978,4.724809297436961,0.9106208778712759,760.1,0.1377136553270265,5.57840249718603,0.9590520078999342,1360.8,0.9799497028353716,115.66946484716074,0.9171662876438565,1904.6,0.8247674355396694,39.24878249139285,0.9680188004495759
4,419.4,0.13601195558560242,4.081058008658289,0.9106208778712759,760.1,0.12139986695281879,4.961038629586935,0.9590520078999342,1372.7,0.9764233092541704,114.94743712259552,0.9171091648851805,1904.6,0.8276513263943635,38.93487787736608,0.9680188004495759
5,419.4,0.19152761552796993,5.212901775744484,0.926208651399491,760.1,0.125735384761402,5.133287816171539,0.9590520078999342,1360.8,0.9797630234387692,113.2930252845988,0.9171662876438565,1904.6,0.8358658273677154,38.36385494968525,0.9680188004495759
6,419.4,0.1430873141180904,4.391572614145347,0.9106208778712759,760.1,0.12129557666146973,4.913533828782623,0.9590520078999342,1372.7,0.9758490258547688,115.02390947818093,0.9171091648851805,1904.6,0.8238985755262692,38.83678436332609,0.9680188004495759
7,419.4,0.1708191677489872,5.032613054823212,0.9106208778712759,760.1,0.14081660636814486,5.572754395977267,0.9590520078999342,1360.8,0.9821642044228676,116.032751597949,0.9171662876438565,1904.6,0.830403944650356,39.11924767822208,0.9680188004495759
8,419.4,0.15397996135534586,4.821458842660239,0.9106208778712759,760.1,0.1122481875750222,4.666512017671605,0.9590520078999342,1372.7,0.9718725751548772,113.82958757475402,0.9171091648851805,1904.6,0.8304883898987815,38.603152156090424,0.9680188004495759
9,419.4,0.20914872572953802,6.535129993131238,0.9106208778712759,760.1,0.11653739489504977,5.279022874019539,0.9190256747860435,1372.7,0.9604523834972878,111.14990772287098,0.9171091648851805,1904.6,0.7601926909733345,35.20273618043578,0.9680188004495759
10,419.4,0.21116934472368432,6.023011353586715,0.9106208778712759,760.1,0.12179394546034161,5.2328902305456495,0.9590520078999342,1360.8,0.9733939091084911,113.66865527849222,0.9171662876438565,1904.6,0.7782424991342709,36.505758995294826,0.9680188004495759
11,419.4,0.21172927691477883,6.420288771618027,0.9106208778712759,760.1,0.1400284164303215,5.6369690530242975,0.9590520078999342,1360.8,0.9795938817856628,115.04316114950113,0.9171662876438565,1904.6,0.8218878979084334,38.383968801916524,0.9680188004495759
12,419.4,0.14255200384025535,4.450041724123602,0.9106208778712759,760.1,0.11629240085890769,4.931765021364413,0.9590520078999342,1372.7,0.9725378086741068,113.97094088336806,0.9171091648851805,1904.6,0.8133076453245305,37.99145688104557,0.9680188004495759
13,419.4,0.1577954764665831,4.672336272806886,0.9106208778712759,760.1,0.12921739231451002,5.134357829931662,0.9590520078999342,1360.8,0.9835920338698529,116.02455763567399,0.9171662876438565,1904.6,0.8475508556902906,39.80313900065681,0.9680188004495759
14,419.4,0.14671152897973716,4.101778345110713,0.926208651399491,760.1,0.14056826834871383,5.542327148134555,0.9590520078999342,1360.8,0.9820564002639488,116.46493723673504,0.9171662876438565,1904.6,0.8367266197972109,39.59361658507392,0.9680188004495759
15,419.4,0.15517694220261813,4.862754169920292,0.9106208778712759,760.1,0.13285064120581525,5.428163159455699,0.9590520078999342,1360.8,0.9861400302762132,117.70310597170047,0.9171662876438565,1904.6,0.8585742780040735,41.03655368437171,0.9680188004495759
16,419.4,0.19553965354876535,5.957724394545359,0.9106208778712759,760.1,0.10459454258674594,4.755276208568386,0.9590520078999342,1372.7,0.951830640632061,109.4298772419994,0.9171091648851805,1904.6,0.7640979420796083,34.90113827709902,0.9680188004495759
17,419.4,0.15353785822403876,4.5837900445271345,0.9106208778712759,760.1,0.12594883496454368,4.971132031717104,0.9590520078999342,1372.7,0.9779101236294749,115.4218716913594,0.9171091648851805,1904.6,0.8179306666371028,38.5154638267761,0.9680188004495759
18,419.4,0.22320976654957858,6.7473438392830785,0.926208651399491,760.1,0.14978265642153032,6.385896166615355,0.9590520078999342,1360.8,0.9805108514080866,118.19378367037343,0.9171662876438565,1904.6,0.795757697373646,37.0731016294847,0.9680188004495759
19,419.4,0.15062748654345914,4.507774684399899,0.9106208778712759,760.1,0.1226962196927377,4.840928930203172,0.9590520078999342,1372.7,0.9790027487048666,115.22522722009947,0.9171091648851805,1904.6,0.8204898953444306,38.75744930987538,0.9680188004495759
20,419.4,0.1401082153176909,4.261262629167981,0.9106208778712759,760.1,0.12326896886476324,5.038457349505224,0.9590520078999342,1372.7,0.9782727678914519,115.22483985109987,0.9171091648851805,1904.6,0.8066166542851808,38.41754567093853,0.9680188004495759
21,419.4,0.13486302392732452,4.161030496647026,0.9106208778712759,760.1,0.11028496414383426,4.540307119346312,0.9590520078999342,1372.7,0.9689806846951052,112.86186634982495,0.9171091648851805,1904.6,0.8057945352468876,37.69140955890939,0.9680188004495759
22,419.4,0.17136193232884767,5.1040157529994366,0.9106208778712759,760.1,0.12600219452645356,5.167868867790775,0.9590520078999342,1360.8,0.971134376225067,114.7023132777108,0.9171662876438565,1904.6,0.8182623068789875,38.48822574678336,0.9680188004495759
23,419.4,0.17900666046276403,5.532395944101361,0.9106208778712759,760.1,0.12013595628007123,5.074403320393116,0.9590520078999342,1372.7,0.9691240508863824,113.25198669167361,0.9171091648851805,1904.6,0.7648476064920933,35.688984439742654,0.9680188004495759
24,419.4,0.13556850264514864,4.257601087497514,0.9106208778712759,760.1,0.11722662090673497,4.9642503329891525,0.9590520078999342,1372.7,0.9681985120782717,113.21832649792951,0.9171091648851805,1904.6,0.8002811140678576,37.12086946986419,0.9680188004495759
